id,long_name,is_in_sydney
2504_610X,City QVB to Castle Hill (Express Service),True
2504_611,Macquarie Park to Blacktown via M2 Mwy,True
2504_612X,North Sydney to Castle Hill (Express Service),True
2504_613X,City QVB to Bella Vista (Express Service),True
2504_614X,City QVB to Crestwood (Express Service),True
2504_615X,City QVB to Kellyville and North Kellyville (Express Service),True
2504_616X,City QVB to Kellyville Ridge (Express Service),True
2504_617,Kellyville Station to Rouse Hill via Beaumont Hills,True
2504_620X,City Wynyard to Dural via Cherrybrook (Express Service),True
2504_622,Milsons Point to Dural via Cherrybrook,True
2504_625,Parramatta to Pennant Hills,True
2504_626,Pennant Hills to Kellyville via Cherrybrook,True
2504_630,Epping to Blacktown via Baulkham Hills,True
2504_632,Pennant Hills to Rouse Hill Station via Norwest and Castle Hill,True
2504_633,Pennant Hills to Rouse Hill via Kellyville and Castle Hill,True
2504_635,Beecroft to Castle Hill via West Pennant Hills,True
2504_637,Castle Hill to Glenorie via Round Corner and Galston,True
2504_638,Castle Hill or Pennant Hills to Berrilee and Berowra Waters,True
2504_639,Castle Hill to Kenthurst and Maraylya,True
2504_640,Kenthurst Pitt Town Rd to Kenthurst Cadwells Rd,True
2504_641,Dural to Rouse Hill,True
2504_642X,City Wynyard to Dural (Express Service),True
2504_643,Rouse Hill to Gables via Box Hill,True
2504_651,Epping to Rouse Hill Station via Castle Hill,True
2504_652X,City Wynyard to West Pennant Hills (Express Service),True
2504_660,Parramatta to Castlewood via Norwest,True
2504_661,Parramatta to Blacktown via North West Twy and Kings Langley,True
2504_662,Parramatta to Castle Hill via North West Twy and Bella Vista,True
2504_663,Parramatta to Rouse Hill Station via Glenwood,True
2504_664,Parramatta to Rouse Hill Station via Norwest,True
2504_665,Parramatta to Rouse Hill Station,True
2504_700,Parramatta to Blacktown,True
2504_702,Seven Hills to Blacktown,True
2504_705,Parramatta to Blacktown via Pendle Hill,True
2504_706,Parramatta to Blacktown via Kings Langley and Winston Hills,True
2504_708,Parramatta to Constitution Hill Retirement Community via Pendle Hill,True
2504_709,Wentworthville Shopping Plaza to Constitution Hill Retirement Community,True
2504_711,Parramatta to Blacktown via Constitution Hill,True
2504_714,Seven Hills to Norwest Station via Crestwood,True
2504_715,Seven Hills to Rouse Hill Station via Norwest and Kellyville,True
2504_N31,Liverpool to Leppington (Night Service),True
2504_N50,City Town Hall to Liverpool via Strathfield (Night Service),True
2504_N60,City Town Hall to Fairfield via Strathfield (Night Service),True
2504_N61,City Town Hall to Carlingford via Strathfield (Night Service),True
2504_N70,City Town Hall to Penrith via Parramatta (Night Service),True
2504_N71,City Town Hall to Richmond via Parramatta (Night Service),True
2504_N92,City Town Hall to Tallawong via Macquarie Park (Night Service),True
2507_113,Royal North Shore Hospital to Chatswood,True
2507_115,Chatswood to North Sydney Station (Loop Service),True
2507_119,Gore Hill to North Sydney Station (Loop Service),True
2507_120,Chatswood to City QVB (Loop Service),True
2507_202,City Bridge St to Northbridge via North Sydney,True
2507_203,Milsons Point to Castlecrag via North Sydney,True
2507_204,City Bridge St to Northbridge via Freeway,True
2507_205,City Bridge St to East Willoughby via Freeway,True
2507_206,City Bridge St to East Lindfield via Freeway,True
2507_207,City Bridge St to East Lindfield via North Sydney,True
2507_208,City Bridge St to East Lindfield via North Sydney and Northbridge,True
2507_209,Milsons Point to East Lindfield via North Sydney,True
2507_251,City Wynyard to Lane Cove West via Freeway,True
2507_252,North Sydney to Gladesville,True
2507_253,City Wynyard to Riverview via Freeway,True
2507_254,McMahons Point to Riverview via North Sydney,True
2507_255,Chatswood to Colwell Cres and Beaconsfield Rd,True
2507_256,Chatswood to Chatswood West (Loop Service),True
2507_258,Chatswood to Lane Cove West,True
2507_261,North Sydney to Lane Cove via Longueville,True
2507_265,North Sydney to Lane Cove via Crows Nest,True
2507_267,Greenwich to Chatswood via Crows Nest,True
2507_269,North Sydney to Milsons Point via Kirribilli (Loop Service),True
2507_275,Castlecrag to Chatswood,True
2507_285,City Wynyard to Lane Cove West via Freeway,True
2507_286,Milsons Point to Denistone East via North Sydney and St Leonards,True
2507_287,Milsons Point to Ryde via North Sydney and St Leonards,True
2507_288,City Erskine St to Macquarie University via Freeway,True
2507_290,City Erskine St to Epping via North Sydney (Night Service),True
2507_291,McMahons Point to Epping via North Sydney,True
2507_292,"City Erskine St to Marsfield via Freeway, Lane Cove North and Macquarie Park",True
2507_293,City Wynyard to Marsfield via Lane Cove Tunnel,True
2507_295,Epping to North Epping (Loop Service),True
2507_297,City Wynyard to Denistone East via Lane Cove Tunnel,True
2507_500N,City Hyde Park to Parramatta via Victoria Rd (Night Service),True
2507_500X,City Hyde Park to West Ryde via Victoria Rd (Express Service),True
2507_501,Central Pitt St to Parramatta via Pyrmont and Victoria Rd,True
2507_505,City Town Hall to Woolwich,True
2507_506,City Domain to Macquarie University via East Ryde,True
2507_507,City Hyde Park and Gladesville to Meadowbank via Putney,True
2507_513,West Ryde to Carlingford via Dundas Valley,True
2507_515,Ryde to Eastwood,True
2507_516,Chatswood to Top Ryde City via North Ryde,True
2507_517,Ryde to Macquarie Park via Bridge Rd,True
2507_518,Meadowbank Wharf to Macquarie University via Ryde,True
2507_521,Eastwood to Parramatta via Park Rd,True
2507_523,West Ryde to Parramatta via Bartlett St,True
2507_524,Ryde and West Ryde to Parramatta via Melrose Park,True
2507_525,Sydney Olympic Park to Parramatta via Newington,True
2507_533,Chatswood to Sydney Olympic Park via North Ryde and Rhodes,True
2507_536,Chatswood to Gladesville via Hunters Hill,True
2507_538,Woolwich to Gladesville,True
2507_540,Silverwater Remand Centre to Auburn,True
2507_541,Eastwood to Epping,True
2507_544,Macquarie Centre to Auburn via Eastwood,True
2507_546,Epping to Parramatta via North Rocks and Oatlands,True
2507_549,Epping to Parramatta via North Rocks,True
2507_550,Macquarie Park to Parramatta via Epping,True
2507_551,Marsfield to Eastwood via Vimiera Rd,True
2507_552,Oatlands to Parramatta,True
2507_553,Beecroft to North Rocks via West Pennant Hills,True
2507_N80,City Town Hall to Hornsby via Strathfield (Night Service),True
2507_N81,City Town Hall to Parramatta via Sydney Olympic Park (Night Service),True
2507_N90,City Town Hall to Hornsby via Chatswood (Night Service),True
2507_N91,Macquarie Centre to City Town Hall (Night Service),True
X0000_BMT,Blue Mountains Line,True
X0000_CCN,Central Coast and Newcastle Line,True
X0000_SCO,South Coast Line,True
x0001_T1,T1 North Shore and Western Line,True
x0001_T1,T1 North Shore and Western Line,True
x0001_T2,T2 Leppington and Inner West Line,True
x0001_T3,T3 Liverpool and Inner West Line,True
x0001_T4,T4 Eastern Suburbs and Illawarra Line,True
x0001_T5,T5 Cumberland Line,True
x0001_T6,T6 Lidcombe and Bankstown Line,True
x0001_T7,T7 Olympic Park Line,True
x0001_T8,T8 Airport and South Line,True
x0001_T9,T9 Northern Line,True
2606_32/4,Mangrove Mountain to Gosford via Kariong,False
2606_32,Gosford to Spencer,False
2606_33/4,Gosford to Somersby industrial Estate and Kariong (Loop Service),False
2606_33,Gosford to Somersby via West Gosford and Industrial Estate,False
2606_34/2,Gosford to Mangrove Mountain via Kariong,False
2606_34,Gosford to Kariong (Loop Service),False
2606_36,Gosford to Westfield Tuggerah via Niagara Park,False
2606_37/8,Ourimbah to Gosford via Wyoming,False
2606_37,Gosford to Tuggerah via Lisarow,False
2606_38,Gosford to Wyoming (Loop Service),False
2606_50/3,Woy Woy to Umina and Booker Bay (Loop Service),False
2606_50,Woy Woy to Umina via Ocean Beach Rd (Loop Service),False
2606_5364,Woy Woy to Kincumber via Ettalong and Empire Bay,False
2606_53,Woy Woy to Booker Bay (Loop Service),False
2606_54/0,Umina Beach to Woy Woy via Pearl Beach,False
2606_54,Woy Woy to Pearl Beach and Patonga via Umina Beach (Loop Service),False
2606_55/3,Woy Woy to Ettalong and Umina Beach (Loop Service),False
2606_55,Gosford to Ettalong Beach via Umina Beach and Woy Woy,False
2606_57,Umina Beach West to Woy Woy via Umina Beach and Woy Woy South,False
2606_58,Woy Woy to Woy Woy Bay and Phegans Bay (Loop Service),False
2606_59,"Woy Woy to Wagstaffe via Ettalong, Booker Bay and Empire Bay",False
2606_63,Gosford to Saratoga and Davistown via Green Pt and Erina Fair (Loop Service),False
2606_64,Gosford to Woy Woy via Empire Bay and Kincumber,False
2606_65,Gosford to Wagstaffe via Kincumber and Macmasters Beach,False
2606_66A,Gosford to Avoca Beach and Copacabana via Kincumber and Green Pt (Loop Service),False
2606_66C,Gosford to Copacabana and Avoca Beach via Kincumber and Green Pt (Loop Service),False
2606_67,Gosford to North Avoca via Terrigal (Loop Service),False
2606_68,Gosford to Wamberal via Terrigal (Loop Service),False
2606_70,"Gosford to Ettalong Beach via Woy Woy, Pt Clare and Tascott",False
2606_78,Lake Haven to Tuggerah via Warnervale and Wadalba,False
2606_79,"Lake Haven to Tuggerah via Woongarrah, Hamlyn Terrace and Wattanobi",False
2606_80,Lake Haven to Tuggerah via Lake Haven Dr and Pacific Hwy,False
