objectid,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,exact_times,route_type_text,st_length(shape)
53,OLY_2b,OLY_2b,SydneyTrains,T7,Blacktown to Olympic Park,T7 Olympic Park Line,2,6F818E,FFFFFF,,Rail,54942.6428994088
45,NSN_1a,NSN_1a,SydneyTrains,T1,City to Hornsby and Berowra via Gordon,T1 North Shore Line,2,F99D1C,FFFFFF,,Rail,43413.377493538
46,NSN_2a,NSN_2a,SydneyTrains,T1,Berowra and Hornsby to City via Gordon,T1 North Shore Line,2,F99D1C,FFFFFF,,Rail,43413.377493538
62,T3_1a,T3_1a,SydneyTrains,T3,City Circle to Liverpool via Regents Park,T3 Liverpool & Inner West Line,2,F37021,FFFFFF,,Rail,45833.1849435874
63,T3_1c,T3_1c,SydneyTrains,T3,Lidcombe to Liverpool via Regents Park,T3 Liverpool & Inner West Line,2,F37021,FFFFFF,,Rail,18679.2438975965
64,T3_1d,T3_1d,SydneyTrains,T3,Bankstown to Liverpool,T3 Liverpool & Inner West Line,2,F37021,FFFFFF,,Rail,25573.2426767317
65,T3_2a,T3_2a,SydneyTrains,T3,Liverpool to City Circle via Regents Park,T3 Liverpool & Inner West Line,2,F37021,FFFFFF,,Rail,45833.1849435875
66,T3_2c,T3_2c,SydneyTrains,T3,Liverpool to Lidcombe via Regents Park,T3 Liverpool & Inner West Line,2,F37021,FFFFFF,,Rail,18679.2438975965
67,T3_2d,T3_2d,SydneyTrains,T3,Liverpool to Bankstown,T3 Liverpool & Inner West Line,2,F37021,FFFFFF,,Rail,25573.2426767317
68,T6_1a,T6_1a,SydneyTrains,T6,Lidcombe to Bankstown,T6 Lidcombe & Bankstown Line,2,7C3E21,FFFFFF,,Rail,9778.50575851556
70,WST_1a,WST_1a,SydneyTrains,T1,City to Emu Plains,T1 Western Line,2,F99D1C,FFFFFF,,Rail,69005.2129353594
71,WST_1b,WST_1b,SydneyTrains,T1,City to Richmond,T1 Western Line,2,F99D1C,FFFFFF,,Rail,72894.206649206
72,WST_2c,WST_2c,SydneyTrains,T1,Emu Plains to Berowra via City,T1 Western Line,2,F99D1C,FFFFFF,,Rail,112773.089475532
73,WST_2d,WST_2d,SydneyTrains,T1,Richmond to Berowra via City,T1 Western Line,2,F99D1C,FFFFFF,,Rail,116662.083189379
